Element,Phytoplankton quota (mol:mol C),Observed maximum phytoplankton quota (mol:mol C),Observed minimum phytoplankton quota (mol:mol C),Mean ocean concentration (umol/kg),Residence time (years)
C,1,1,1,2247,130000
H,2.12,,,,
N,0.129,0.169,5.00E-02,30,3300
O,0.339,,,,
P,8.07E-03,2.58E-02,1.29E-03,2,53000
S,1.05E-02,,,28010,8700000
K,1.37E-02,,,10205,12000000
Mg,4.52E-03,,,52664,13000000
Ca,4.03E-03,,,10279,1000000
Sr,4.03E-05,,,89,5100000
Fe,6.05E-05,2.58E-04,2.13E-06,5.37E-04,350
Mn,2.26E-05,3.00E-05,9.00E-07,3.64E-04,60
Ni,8.06E-06,3.05E-05,1.86E-07,8.17E-03,6000
Zn,6.45E-06,1.10E-04,1.74E-07,5.35E-03,51000
Cu,3.06E-06,1.04E-04,2.18E-07,2.36E-03,5000
Cd,1.69E-06,3.35E-04,1.60E-09,6.23E-04,50000
Co,1.53E-06,2.56E-05,4.70E-10,2.04E-05,340
Mo,2.42E-07,,,0.104,800000
Si,0.129,1.01,0.08,99.7,20000
