Model name,Num parameters,R^2,Akaike weight,Parameter names,Parameter values
liebig_monod,3,-0.03067289022106645,6.769869724150869e-35,zmax;c1;c2,0.6006013662540596;87.37689226676221;205.05031798651004
liebig_monod_rmin,5,0.898529435064732,0.0022643573959436405,zmax;c1;c2;R1min;R2min,0.6750184916541929;18.643048509066375;48.01963264456485;0.025816534053131283;0.025506970374875985
liebig_hill,5,0.048024509619646216,5.697181920320578e-35,zmax;c1;c2;n1;n2,1.1800343527166668;5.180590802437108;9.69012230426067;0.2708317338107915;0.136146293112425
liebig_hill_rmin,7,0.9049160510670401,0.0013529008148358665,zmax;c1;c2;n1;n2;R1min;R2min,0.6313426181196726;4.582815939412776;4.200654819179036;3.5108088807489675;6.194799402334636;0.13127566610034616;0.17066153773093756
liebig_blackman,3,-0.477746093836642,5.559220255477614e-40,zmax;c1;c2,0.5726065390247506;20.643917620384716;45.79387508867656
liebig_blackman_rmin,5,0.8995153356587923,0.003109957618661509,zmax;c1;c2;R1min;R2min,0.6152458591631159;3.434573544428806;2.694238453510283;0.085204932813364;0.1674940892290991
liebig_bertalanffy,3,-0.15742473172663152,1.5613252910140885e-36,zmax;c1;c2,0.5585787311042647;87.99637998683043;137.27750549309127
liebig_bertalanffy_rmin,5,0.9039985292228365,0.013707750915071162,zmax;c1;c2;R1min;R2min,0.629281577548907;12.158950769896347;24.06508359646245;0.0457106630262288;0.044068381340094546
multiplicative_monod,3,-0.03109280814912796,6.680837494285973e-35,zmax;c1;c2,0.6010146442811966;103.88131843672338;253.57194763068884
multiplicative_monod_rmin,5,0.9036822711959673,0.012318134419358532,zmax;c1;c2;R1min;R2min,0.644772259469533;32.36753910850666;133.5586853299931;0.018639120315993258;0.010656641863799983
multiplicative_hill,5,0.014851904235611335,1.8715354081885753e-35,zmax;c1;c2;n1;n2,0.6782619230319583;118.97451458367105;492.0488570961112;0.5182363762331176;0.6889705711459515
multiplicative_hill_rmin,7,0.9150148653093699,0.05201203644168969,zmax;c1;c2;n1;n2;R1min;R2min,0.6194604461542751;1.8015067452830889;125.26431898042915;10.391101994371166;1.0033600175458008;0.3466792450719276;0.01124236647527454
multiplicative_blackman,3,-0.49344377219720603,3.9433884226300955e-40,zmax;c1;c2,0.5699428069868342;20.626239726738124;47.83922721547546
multiplicative_blackman_rmin,5,0.8893695792963743,0.00013648162743977145,zmax;c1;c2;R1min;R2min,0.6157824953823613;3.7445424955074462;0.6349233574788039;0.0853279406735073;0.8086633883903757
multiplicative_bertalanffy,3,-0.1606574776149008,1.4260200656083145e-36,zmax;c1;c2,0.5557627639865248;93.6112463152328;147.3240843219345
multiplicative_bertalanffy_rmin,5,0.9118288078741091,0.21771049022655176,zmax;c1;c2;R1min;R2min,0.60972185078119;16.187720520619308;34.19965377526092;0.03920660368860313;0.03327239302730391
pat,3,-0.02613018065707151,7.814983035631971e-35,zmax;c1;c2,0.6037203632838153;90.14132796417773;202.73673824970743
pat_rmin,5,0.9139802109582348,0.48590390908176606,zmax;c1;c2;R1min;R2min,0.6612022326977628;23.744199320700286;95.5430496584691;0.022392274495150636;0.007635944194662382
additive,3,-0.024449754361299814,8.242548215167321e-35,zmax;c1;c2,0.6060876302342006;97.62575339707882;222.15065850263346
additive_rmin,5,0.9072683253972862,0.042275055416985625,zmax;c1;c2;R1min;R2min,0.655014623009842;29.2683271408881;118.49280051395694;0.019243085070021333;0.008720611343755976
mankad_bungay,3,-0.03449350271589391,6.002823763669147e-35,zmax;c1;c2,0.5999020611381513;79.74141518054773;186.11435357956785
mankad_bungay_rmin,5,0.862870672986255,1.2713388521639538e-07,zmax;c1;c2;R1min;R2min,0.8368138513114096;9.71190431406295;1.5779285292467815;0.03343917658467172;0.7777033737015551
generalized_additive,4,0.01705959498524845,7.859583421495375e-35,zmax;c1;c2;q,0.7043683785742163;726.9277531457889;4169.488679107496;0.4816522621769524
generalized_additive_rmin,6,0.9146962502634286,0.16852922225853986,zmax;c1;c2;q;R1min;R2min,0.6287219055279935;7.955910060075415;24.273836636544505;2.0662375893414953;0.04281580417463678;0.019449828492318844
saito_sub,3,0.5448996663419051,2.3362834381766906e-23,zmax;c1;c2,0.5624579000550933;59.28435962488766;2.774172406276069
saito_sub_rmin,5,0.8173567275861819,1.1451910011981251e-11,zmax;c1;c2;R1min;R2min,0.6015914674442914;27.115968540128552;0.35895475986221176;3.2498935263357575e-06;1.2187195761755831
mean_monod_sub,3,0.7598382610379768,2.458294429719829e-14,zmax;c1;c2,0.610897555460988;29.35049099661897;130.27914387004031
mean_monod_sub_rmin,5,0.8947011348789039,0.0006795596408484796,zmax;c1;c2;R1min;R2min,0.6300134387517271;17.191865210760863;87.75946593681456;0.001094353854378429;0.009229796135686637
chem_depend,3,-0.08828469493955793,1.1557824157489089e-35,zmax;c1;c2,0.5667067876624985;105.09561080056456;306.630514113164
chem_depend_rmin,5,0.8541120974211232,1.6996946344711413e-08,zmax;c1;c2;R1min;R2min,0.5981039093547398;33.87845903871791;149.74978603931055;0.018453594852059666;0.0030382176696894985
