Glucose (mM),Ammonium (mM),Growth yield (OD 600 nm) bootstrap 1,Growth yield (OD 600 nm) bootstrap 2,Growth yield (OD 600 nm) bootstrap 3,Growth yield (OD 600 nm) bootstrap 4,Growth yield (OD 600 nm) bootstrap 5,Growth yield (OD 600 nm) bootstrap 6,Growth yield (OD 600 nm) bootstrap 7,Growth yield (OD 600 nm) bootstrap 8,Growth yield (OD 600 nm) bootstrap 9,Growth yield (OD 600 nm) bootstrap 10,Growth yield (OD 600 nm) bootstrap 11,Growth yield (OD 600 nm) bootstrap 12,Growth yield (OD 600 nm) bootstrap 13,Growth yield (OD 600 nm) bootstrap 14,Growth yield (OD 600 nm) bootstrap 15,Growth yield (OD 600 nm) bootstrap 16,Growth yield (OD 600 nm) bootstrap 17,Growth yield (OD 600 nm) bootstrap 18,Growth yield (OD 600 nm) bootstrap 19,Growth yield (OD 600 nm) bootstrap 20,Growth yield (OD 600 nm) bootstrap 21,Growth yield (OD 600 nm) bootstrap 22,Growth yield (OD 600 nm) bootstrap 23,Growth yield (OD 600 nm) bootstrap 24,Growth yield (OD 600 nm) bootstrap 25,Growth yield (OD 600 nm) bootstrap 26,Growth yield (OD 600 nm) bootstrap 27,Growth yield (OD 600 nm) bootstrap 28,Growth yield (OD 600 nm) bootstrap 29,Growth yield (OD 600 nm) bootstrap 30,Growth yield (OD 600 nm) bootstrap 31,Growth yield (OD 600 nm) bootstrap 32,Growth yield (OD 600 nm) bootstrap 33,Growth yield (OD 600 nm) bootstrap 34,Growth yield (OD 600 nm) bootstrap 35,Growth yield (OD 600 nm) bootstrap 36,Growth yield (OD 600 nm) bootstrap 37,Growth yield (OD 600 nm) bootstrap 38,Growth yield (OD 600 nm) bootstrap 39,Growth yield (OD 600 nm) bootstrap 40,Growth yield (OD 600 nm) bootstrap 41,Growth yield (OD 600 nm) bootstrap 42,Growth yield (OD 600 nm) bootstrap 43,Growth yield (OD 600 nm) bootstrap 44,Growth yield (OD 600 nm) bootstrap 45,Growth yield (OD 600 nm) bootstrap 46,Growth yield (OD 600 nm) bootstrap 47,Growth yield (OD 600 nm) bootstrap 48,Growth yield (OD 600 nm) bootstrap 49,Growth yield (OD 600 nm) bootstrap 50,Growth yield (OD 600 nm) bootstrap 51,Growth yield (OD 600 nm) bootstrap 52,Growth yield (OD 600 nm) bootstrap 53,Growth yield (OD 600 nm) bootstrap 54,Growth yield (OD 600 nm) bootstrap 55,Growth yield (OD 600 nm) bootstrap 56,Growth yield (OD 600 nm) bootstrap 57,Growth yield (OD 600 nm) bootstrap 58,Growth yield (OD 600 nm) bootstrap 59,Growth yield (OD 600 nm) bootstrap 60,Growth yield (OD 600 nm) bootstrap 61,Growth yield (OD 600 nm) bootstrap 62,Growth yield (OD 600 nm) bootstrap 63,Growth yield (OD 600 nm) bootstrap 64,Growth yield (OD 600 nm) bootstrap 65,Growth yield (OD 600 nm) bootstrap 66,Growth yield (OD 600 nm) bootstrap 67,Growth yield (OD 600 nm) bootstrap 68,Growth yield (OD 600 nm) bootstrap 69,Growth yield (OD 600 nm) bootstrap 70,Growth yield (OD 600 nm) bootstrap 71,Growth yield (OD 600 nm) bootstrap 72,Growth yield (OD 600 nm) bootstrap 73,Growth yield (OD 600 nm) bootstrap 74,Growth yield (OD 600 nm) bootstrap 75,Growth yield (OD 600 nm) bootstrap 76,Growth yield (OD 600 nm) bootstrap 77,Growth yield (OD 600 nm) bootstrap 78,Growth yield (OD 600 nm) bootstrap 79,Growth yield (OD 600 nm) bootstrap 80,Growth yield (OD 600 nm) bootstrap 81,Growth yield (OD 600 nm) bootstrap 82,Growth yield (OD 600 nm) bootstrap 83,Growth yield (OD 600 nm) bootstrap 84,Growth yield (OD 600 nm) bootstrap 85,Growth yield (OD 600 nm) bootstrap 86,Growth yield (OD 600 nm) bootstrap 87,Growth yield (OD 600 nm) bootstrap 88,Growth yield (OD 600 nm) bootstrap 89,Growth yield (OD 600 nm) bootstrap 90,Growth yield (OD 600 nm) bootstrap 91,Growth yield (OD 600 nm) bootstrap 92,Growth yield (OD 600 nm) bootstrap 93,Growth yield (OD 600 nm) bootstrap 94,Growth yield (OD 600 nm) bootstrap 95,Growth yield (OD 600 nm) bootstrap 96,Growth yield (OD 600 nm) bootstrap 97,Growth yield (OD 600 nm) bootstrap 98,Growth yield (OD 600 nm) bootstrap 99,Growth yield (OD 600 nm) bootstrap 100
0.0,0.0,0.000653212341197855,0.000653212341197855,0.0,0.0,0.0,0.0,0.000653212341197855,0.0,0.0,0.0,0.000653212341197855,0.0,0.0,0.000653212341197855,0.0,0.0,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.0,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.0,0.0,0.0,0.0,0.000653212341197855,0.000653212341197855,0.0,0.000653212341197855,0.0,0.000653212341197855,0.0,0.0,0.000653212341197855,0.0,0.000653212341197855,0.000653212341197855,0.0,0.0,0.000653212341197855,0.0,0.0,0.000653212341197855,0.0,0.0,0.0,0.000653212341197855,0.000653212341197855,0.0,0.0,0.0,0.0,0.000653212341197855,0.0,0.0,0.000653212341197855,0.0,0.000653212341197855,0.0,0.000653212341197855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.0,0.0,0.000653212341197855,0.0,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.0,0.000653212341197855,0.0,0.0,0.0,0.000653212341197855,0.000653212341197855,0.000653212341197855,0.0,0.0,0.0
0.078125,0.0,0.00111499092558985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111499092558985,0.0,0.00111499092558985,0.0,0.0,0.00111499092558985,0.00111499092558985,0.00111499092558985,0.00111499092558985,0.00111499092558985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111499092558985,0.0,0.0,0.0,0.00111499092558985,0.00111499092558985,0.0,0.00111499092558985,0.0,0.0,0.0,0.0,0.00111499092558985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111499092558985,0.0,0.00111499092558985,0.00111499092558985,0.0,0.00111499092558985,0.00111499092558985,0.00111499092558985,0.00111499092558985,0.0,0.00111499092558985,0.0,0.0,0.00111499092558985,0.0,0.0,0.00111499092558985,0.0,0.0,0.0,0.0,0.00111499092558985,0.0,0.00111499092558985,0.0,0.00111499092558985,0.00111499092558985,0.0,0.00111499092558985,0.00111499092558985,0.00111499092558985,0.0,0.0,0.00111499092558985,0.0,0.00111499092558985,0.00111499092558985,0.0,0.00111499092558985,0.00111499092558985,0.00111499092558985,0.0,0.00111499092558985,0.00111499092558985,0.0
0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.000133212341197855,0.000133212341197855,0.0,0.000133212341197855,0.0,0.0,0.000133212341197855,0.000133212341197855,0.0,0.0,0.0,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.000133212341197855,0.0,0.000133212341197855,0.0,0.0,0.0,0.000133212341197855,0.000133212341197855,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.000133212341197855,0.000133212341197855,0.000133212341197855,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.0,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.0,0.000133212341197855,0.000133212341197855,0.0,0.0,0.000133212341197855,0.000133212341197855,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.0,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.000133212341197855,0.0,0.0,0.0,0.000133212341197855,0.0,0.000133212341197855,0.000133212341197855,0.0,0.000133212341197855,0.0,0.000133212341197855
2.5,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00129321234119785,0.00129321234119785,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00129321234119785,0.00129321234119785,0.0,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.00129321234119785,0.00129321234119785,0.00129321234119785,0.00129321234119785,0.0,0.0,0.0,0.00129321234119785,0.00129321234119785,0.00129321234119785,0.00129321234119785,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.00129321234119785,0.0,0.0,0.00129321234119785,0.0,0.00129321234119785,0.0,0.00129321234119785,0.0,0.0,0.0,0.00129321234119785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.000180471869328515,0.0,0.0,0.0,0.0,0.000180471869328515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000180471869328515,0.000180471869328515,0.000180471869328515,0.000180471869328515,0.000180471869328515,0.0,0.000180471869328515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000180471869328515,0.0,0.0,0.000180471869328515,0.0,0.000180471869328515,0.000180471869328515,0.000180471869328515,0.0,0.000180471869328515,0.0,0.000180471869328515,0.000180471869328515,0.0,0.0,0.000180471869328515,0.0,0.000180471869328515,0.0,0.0,0.000180471869328515,0.0,0.000180471869328515,0.0,0.0,0.000180471869328515,0.0,0.0,0.0,0.000180471869328515,0.000180471869328515,0.000180471869328515,0.0,0.0,0.0,0.0,0.000180471869328515,0.0,0.0,0.0,0.000180471869328515,0.000180471869328515,0.0,0.000180471869328515,0.0,0.0,0.000180471869328515,0.0,0.0,0.000180471869328515,0.0,0.000180471869328515,0.000180471869328515,0.0,0.0,0.0,0.000180471869328515,0.000180471869328515,0.000180471869328515,0.0,0.000180471869328515,0.0,0.000180471869328515,0.000180471869328515,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
