Model name,Num parameters,R^2,Akaike weight,Parameter names,Parameter values
liebig_monod,3,0.9916696194584593,0.15510649592735243,zmax;s1;s2,0.6584347014456156;0.14307738939723602;0.2288667688430249
liebig_monod_rmin,5,0.9923478465621901,0.2488627260613969,zmax;s1;s2;R1min;R2min,0.6670150681536403;0.13654947161989317;0.22264495514367577;0.05382594351183541;0.018186602426918382
liebig_hill,5,0.9924097084791711,0.34015791082357716,zmax;s1;s2;n1;n2,0.6905130172289099;0.13002857860540837;0.21826149881199144;0.9130556039970383;0.9886401507153642
liebig_hill_rmin,7,0.9928361938084428,0.21278666018874945,zmax;s1;s2;n1;n2;R1min;R2min,0.6694827383361187;0.1359358875151199;0.22322275872747838;0.9561333591059593;1.0821157611585916;0.023439399252065358;0.05494869838295294
liebig_blackman,3,0.9519157980951533,7.57065573607527e-31,zmax;s1;s2,0.5142265458254511;0.07586223770240635;0.10561720005105943
liebig_blackman_rmin,5,0.9559368390084734,1.3326577931857833e-30,zmax;s1;s2;R1min;R2min,0.5495832123411972;0.04801210062655217;0.09699888438049302;0.858430910526405;0.2349680658721586
liebig_bertalanffy,3,0.9883403477020165,3.705363171430395e-07,zmax;s1;s2,0.541081775480592;0.16621377800343112;0.26864441388751176
liebig_bertalanffy_rmin,5,0.991430829089503,0.0031877712732021127,zmax;s1;s2;R1min;R2min,0.5494706178170957;0.1528636751035553;0.25524140339137347;0.1338209296453722;0.05237959386197579
multiplicative_monod,3,0.9709964172606813,2.147028923797261e-22,zmax;s1;s2,0.6419865058865067;0.3277444913400225;0.5900748620269821
multiplicative_monod_rmin,5,0.9712034223555006,1.7258672428728819e-23,zmax;s1;s2;R1min;R2min,0.645745237842329;0.3165234444625104;0.5862076388938019;0.03404396546879206;0.0052740896348621984
multiplicative_hill,5,0.9715755912260441,2.8478079167711416e-23,zmax;s1;s2;n1;n2,0.6358996265682508;0.31487885454110875;0.6244256213248912;0.9680088175664571;1.1057693687729033
multiplicative_hill_rmin,7,0.9726980769853207,9.068639217220102e-24,zmax;s1;s2;n1;n2;R1min;R2min,0.6100825949916887;0.3176497656180682;0.5608742329923818;1.016976366201668;1.4261599250441233;0.04090413260418242;0.19096853147155796
multiplicative_blackman,3,0.9208003132140254,3.43062300900492e-39,zmax;s1;s2,0.5057329681771436;0.15862618418752436;0.20951245911926694
multiplicative_blackman_rmin,5,0.9256329417068561,2.3630773528145538e-39,zmax;s1;s2;R1min;R2min,0.5325483911603803;0.08451865611681525;0.18066162760787796;1.3548014662059296;0.5141748473557489
multiplicative_bertalanffy,3,0.9673237149976875,2.1790558581045727e-24,zmax;s1;s2,0.5159406985249835;0.3841637187751209;0.6438782187969185
multiplicative_bertalanffy_rmin,5,0.9707028674193667,8.889230277904602e-24,zmax;s1;s2;R1min;R2min,0.5231163681785411;0.3453109039212997;0.6030377224783069;0.16350743193453385;0.075774649341315
pat,3,0.9912601854444045,0.024456312806251906,zmax;s1;s2,0.6765103315047878;0.15109913488490131;0.24641418614993502
pat_rmin,5,0.9917358281124117,0.01286638341536183,zmax;s1;s2;R1min;R2min,0.6838882474283595;0.1453560947176215;0.24197472606958534;0.04509581382953598;0.012798732004437912
additive,3,0.986797128970078,3.0938104036679796e-09,zmax;s1;s2,0.6961978268087052;0.16878486773990242;0.28615132144699323
additive_rmin,5,0.9869861391242443,3.2884708300896815e-10,zmax;s1;s2;R1min;R2min,0.7006915364691345;0.16446824029174573;0.285244902280453;0.028907217843696834;0.0028887282846435988
mankad_bungay,3,0.9906993738169849,0.002231038557166333,zmax;s1;s2,0.6696560144212331;0.11550213653126401;0.18033607275913352
mankad_bungay_rmin,5,0.9909147491614846,0.0003354745858506116,zmax;s1;s2;R1min;R2min,0.6740816887129693;0.11266756682057642;0.17794223425524408;0.027702208805019248;0.007237292753836179
generalized_mean,4,0.9887136109098749,3.164601782079062e-07,zmax;s1;s2;q,0.614892784013246;0.13437551144547435;0.2208632202233482;1.3029626948171733
generalized_mean_rmin,6,0.990352884737841,8.535941938252964e-06,zmax;s1;s2;q;R1min;R2min,0.5944302772927;0.11166423228461932;0.18788538311266187;1.5257603185714723;0.11370809126675932;0.04490691172665042
saito_sub,3,0.40299029257254804,5.76690421489631e-73,zmax;s1;s2,0.30110258186418976;0.10399293049113825;0.0016540331251210301
saito_sub_rmin,5,0.3943459600633611,2.0229415179169457e-74,zmax;s1;s2;R1min;R2min,947.2461095358033;0.0065582391767334885;0.004396801340163022;5.953374043177942;0.0003291822578247103
mean_monod_sub,3,0.598840319502381,2.561599371716475e-66,zmax;s1;s2,0.4215589776318805;0.09130759989297504;0.08247933302642567
mean_monod_sub_rmin,5,0.598840318980409,1.5628451969426705e-67,zmax;s1;s2;R1min;R2min,0.42151425045560525;0.0913676610233124;0.08246824284740378;1.5527329892771107e-45;3.245142707308339e-39
chem_depend,3,0.8965842199548177,1.1875013088287783e-43,zmax;s1;s2,0.577024056694016;0.3145025941070692;0.03800175810505963
chem_depend_rmin,5,0.8978626746934714,1.169576495849747e-44,zmax;s1;s2;R1min;R2min,0.5877883175377264;0.27052726160244267;0.04409542289669841;0.11875780534134693;2.3215502712321944e-20
