R1_back,R2_back,trait_back,R1_supp,R2_supp,L1,L2,Meff
0.078125,0.165,0.004309191941897953,0.15625,0.49,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.3125,0.49,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.625,0.49,0.43337974337462515,0.0,1.0
0.078125,0.165,0.004309191941897953,1.25,0.49,0.20224388024149173,0.0,1.0
0.078125,0.165,0.004309191941897953,2.5,0.49,0.09785994205233473,0.0,1.0
0.078125,0.165,0.004309191941897953,5.0,0.49,0.0481533048194028,0.0,1.0
0.078125,0.165,0.004309191941897953,10.0,0.49,0.02388707246946753,0.0,1.0
0.078125,0.165,0.004309191941897953,20.0,0.49,0.01189669883773481,0.0,1.0
0.078125,0.165,0.004309191941897953,40.0,0.49,0.0059367088133510295,0.0,1.0
0.078125,0.165,0.004309191941897953,0.15625,1.48,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.3125,1.48,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.625,1.48,0.43337974337462515,0.0,1.0
0.078125,0.165,0.004309191941897953,1.25,1.48,0.20224388024149173,0.0,1.0
0.078125,0.165,0.004309191941897953,2.5,1.48,0.09785994205233473,0.0,1.0
0.078125,0.165,0.004309191941897953,5.0,1.48,0.0481533048194028,0.0,1.0
0.078125,0.165,0.004309191941897953,10.0,1.48,0.02388707246946753,0.0,1.0
0.078125,0.165,0.004309191941897953,20.0,1.48,0.01189669883773481,0.0,1.0
0.078125,0.165,0.004309191941897953,40.0,1.48,0.0059367088133510295,0.0,1.0
0.078125,0.165,0.004309191941897953,0.15625,4.44,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.3125,4.44,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.625,4.44,0.43337974337462515,0.0,1.0
0.078125,0.165,0.004309191941897953,1.25,4.44,0.20224388024149173,0.0,1.0
0.078125,0.165,0.004309191941897953,2.5,4.44,0.09785994205233473,0.0,1.0
0.078125,0.165,0.004309191941897953,5.0,4.44,0.0481533048194028,0.0,1.0
0.078125,0.165,0.004309191941897953,10.0,4.44,0.02388707246946753,0.0,1.0
0.078125,0.165,0.004309191941897953,20.0,4.44,0.01189669883773481,0.0,1.0
0.078125,0.165,0.004309191941897953,40.0,4.44,0.0059367088133510295,0.0,1.0
0.078125,0.165,0.004309191941897953,0.15625,13.33,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.3125,13.33,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.625,13.33,0.43337974337462515,0.0,1.0
0.078125,0.165,0.004309191941897953,1.25,13.33,0.20224388024149173,0.0,1.0
0.078125,0.165,0.004309191941897953,2.5,13.33,0.09785994205233473,0.0,1.0
0.078125,0.165,0.004309191941897953,5.0,13.33,0.0481533048194028,0.0,1.0
0.078125,0.165,0.004309191941897953,10.0,13.33,0.02388707246946753,0.0,1.0
0.078125,0.165,0.004309191941897953,20.0,13.33,0.01189669883773481,0.0,1.0
0.078125,0.165,0.004309191941897953,40.0,13.33,0.0059367088133510295,0.0,1.0
0.078125,0.165,0.004309191941897953,0.15625,40.0,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.3125,40.0,1.0,0.0,1.0
0.078125,0.165,0.004309191941897953,0.625,40.0,0.43337974337462515,0.0,1.0
0.078125,0.165,0.004309191941897953,1.25,40.0,0.20224388024149173,0.0,1.0
0.078125,0.165,0.004309191941897953,2.5,40.0,0.09785994205233473,0.0,1.0
0.078125,0.165,0.004309191941897953,5.0,40.0,0.0481533048194028,0.0,1.0
0.078125,0.165,0.004309191941897953,10.0,40.0,0.02388707246946753,0.0,1.0
0.078125,0.165,0.004309191941897953,20.0,40.0,0.01189669883773481,0.0,1.0
0.078125,0.165,0.004309191941897953,40.0,40.0,0.0059367088133510295,0.0,1.0
0.15625,0.165,0.008618383883795907,0.3125,0.49,1.0,0.0,1.0
0.15625,0.165,0.008618383883795907,0.625,0.49,0.33894303393706265,0.0,1.0
0.15625,0.165,0.008618383883795907,1.25,0.49,0.14526130025874112,0.0,1.0
0.15625,0.165,0.008618383883795907,2.5,0.49,0.06778860678741254,0.0,1.0
0.15625,0.165,0.008618383883795907,5.0,0.49,0.03280093876810284,0.0,1.0
0.15625,0.165,0.008618383883795907,10.0,0.49,0.01614014447319346,0.0,1.0
0.15625,0.165,0.008618383883795907,20.0,0.49,0.008006528360718017,0.0,1.0
0.15625,0.165,0.008618383883795907,40.0,0.49,0.003987565105141914,0.0,1.0
0.15625,0.165,0.008618383883795907,0.3125,1.48,1.0,0.0,1.0
0.15625,0.165,0.008618383883795907,0.625,1.48,0.33894303393706265,0.0,1.0
0.15625,0.165,0.008618383883795907,1.25,1.48,0.14526130025874112,0.0,1.0
0.15625,0.165,0.008618383883795907,2.5,1.48,0.06778860678741254,0.0,1.0
0.15625,0.165,0.008618383883795907,5.0,1.48,0.03280093876810284,0.0,1.0
0.15625,0.165,0.008618383883795907,10.0,1.48,0.01614014447319346,0.0,1.0
0.15625,0.165,0.008618383883795907,20.0,1.48,0.008006528360718017,0.0,1.0
0.15625,0.165,0.008618383883795907,40.0,1.48,0.003987565105141914,0.0,1.0
0.15625,0.165,0.008618383883795907,0.3125,4.44,1.0,0.0,1.0
0.15625,0.165,0.008618383883795907,0.625,4.44,0.33894303393706265,0.0,1.0
0.15625,0.165,0.008618383883795907,1.25,4.44,0.14526130025874112,0.0,1.0
0.15625,0.165,0.008618383883795907,2.5,4.44,0.06778860678741254,0.0,1.0
