R1_back,R2_back,trait_back,R1_supp,R2_supp,L1,L2,Meff
0.078125,0.165,0.010684811970956559,0.15625,0.49,0.9684192299192392,0.0,1.0
0.078125,0.165,0.010684811970956559,0.3125,0.49,0.7896772100486902,0.0,1.0
0.078125,0.165,0.010684811970956559,0.625,0.49,0.3384330900208672,0.0,1.0
0.078125,0.165,0.010684811970956559,1.25,0.49,0.15793544200973803,0.0,1.0
0.078125,0.165,0.010684811970956559,2.5,0.49,0.07642037516600228,0.0,1.0
0.078125,0.165,0.010684811970956559,5.0,0.49,0.037603676668985245,0.0,1.0
0.078125,0.165,0.010684811970956559,10.0,0.49,0.018653792363354887,0.0,1.0
0.078125,0.165,0.010684811970956559,20.0,0.49,0.009290320118219885,0.0,1.0
0.078125,0.165,0.010684811970956559,40.0,0.49,0.00463606972631325,0.0,1.0
0.078125,0.165,0.010684811970956559,0.15625,1.48,0.9684192299192392,0.0,1.0
0.078125,0.165,0.010684811970956559,0.3125,1.48,0.7896772100486902,0.0,1.0
0.078125,0.165,0.010684811970956559,0.625,1.48,0.3384330900208672,0.0,1.0
0.078125,0.165,0.010684811970956559,1.25,1.48,0.15793544200973803,0.0,1.0
0.078125,0.165,0.010684811970956559,2.5,1.48,0.07642037516600228,0.0,1.0
0.078125,0.165,0.010684811970956559,5.0,1.48,0.037603676668985245,0.0,1.0
0.078125,0.165,0.010684811970956559,10.0,1.48,0.018653792363354887,0.0,1.0
0.078125,0.165,0.010684811970956559,20.0,1.48,0.009290320118219885,0.0,1.0
0.078125,0.165,0.010684811970956559,40.0,1.48,0.00463606972631325,0.0,1.0
0.078125,0.165,0.010684811970956559,0.15625,4.44,0.9684192299192392,0.0,1.0
0.078125,0.165,0.010684811970956559,0.3125,4.44,0.7896772100486902,0.0,1.0
0.078125,0.165,0.010684811970956559,0.625,4.44,0.3384330900208672,0.0,1.0
0.078125,0.165,0.010684811970956559,1.25,4.44,0.15793544200973803,0.0,1.0
0.078125,0.165,0.010684811970956559,2.5,4.44,0.07642037516600228,0.0,1.0
0.078125,0.165,0.010684811970956559,5.0,4.44,0.037603676668985245,0.0,1.0
0.078125,0.165,0.010684811970956559,10.0,4.44,0.018653792363354887,0.0,1.0
0.078125,0.165,0.010684811970956559,20.0,4.44,0.009290320118219885,0.0,1.0
0.078125,0.165,0.010684811970956559,40.0,4.44,0.00463606972631325,0.0,1.0
0.078125,0.165,0.010684811970956559,0.15625,13.33,0.9684192299192392,0.0,1.0
0.078125,0.165,0.010684811970956559,0.3125,13.33,0.7896772100486902,0.0,1.0
0.078125,0.165,0.010684811970956559,0.625,13.33,0.3384330900208672,0.0,1.0
0.078125,0.165,0.010684811970956559,1.25,13.33,0.15793544200973803,0.0,1.0
0.078125,0.165,0.010684811970956559,2.5,13.33,0.07642037516600228,0.0,1.0
0.078125,0.165,0.010684811970956559,5.0,13.33,0.037603676668985245,0.0,1.0
0.078125,0.165,0.010684811970956559,10.0,13.33,0.018653792363354887,0.0,1.0
0.078125,0.165,0.010684811970956559,20.0,13.33,0.009290320118219885,0.0,1.0
0.078125,0.165,0.010684811970956559,40.0,13.33,0.00463606972631325,0.0,1.0
0.078125,0.165,0.010684811970956559,0.15625,40.0,0.9684192299192392,0.0,1.0
0.078125,0.165,0.010684811970956559,0.3125,40.0,0.7896772100486902,0.0,1.0
0.078125,0.165,0.010684811970956559,0.625,40.0,0.3384330900208672,0.0,1.0
0.078125,0.165,0.010684811970956559,1.25,40.0,0.15793544200973803,0.0,1.0
0.078125,0.165,0.010684811970956559,2.5,40.0,0.07642037516600228,0.0,1.0
0.078125,0.165,0.010684811970956559,5.0,40.0,0.037603676668985245,0.0,1.0
0.078125,0.165,0.010684811970956559,10.0,40.0,0.018653792363354887,0.0,1.0
0.078125,0.165,0.010684811970956559,20.0,40.0,0.009290320118219885,0.0,1.0
0.078125,0.165,0.010684811970956559,40.0,40.0,0.00463606972631325,0.0,1.0
0.15625,0.165,0.021032189351702178,0.3125,0.49,0.7115417178099283,0.0,1.0
0.15625,0.165,0.021032189351702178,0.625,0.49,0.2371805726033094,0.0,1.0
0.15625,0.165,0.021032189351702178,1.25,0.49,0.10164881682998975,0.0,1.0
0.15625,0.165,0.021032189351702178,2.5,0.49,0.04743611452066188,0.0,1.0
0.15625,0.165,0.021032189351702178,5.0,0.49,0.022952958639029943,0.0,1.0
